id,data_provider,country,partner_product_category,product_category,brand,year_of_manufacture,repair_status,event_date,problem,language,translated
rcint_19760,Repair Café International,NLD,Tools electric ~ Other,Misc,Elzo,2014,Repairable,2019-07-06,batterij contact kapot,nl,battery contact broken
restart_13478,The Restart Project,BEL,Misc,Misc,Unknown,????,End of life,2019-05-25,batterij elektrische fiets,nl,battery electric bicycle
rcint_25787,Repair Café International,NLD,Household appliances electric ~ Ladyshave,Hair & beauty item,Braun,2017,Repairable,2019-11-30,batterij erg snel leeg,nl,battery very quickly empty
rcint_17607,Repair Café International,NLD,Other ~ Lamp/lighting,Lamp,Unknown,????,Repairable,2019-05-04,batterij laadt niet op,nl,battery does not charge
rcint_27698,Repair Café International,NLD,Household appliances electric ~ Handheld vacuum cleaner,Vacuum,Unknown,????,End of life,2020-01-11,batterij laadt niet op,nl,battery does not charge
rcint_31948,Repair Café International,NLD,Computers/phones ~ Laptop,Laptop,Acer,????,End of life,2020-09-05,batterij laadt niet op,nl,battery does not charge
rcint_8920,Repair Café International,NLD,Display and sound equipment ~ E-reader / E-book reader,Tablet,Kobo Rakuten,2014,Repairable,2018-08-30,batterij laadt niet op,nl,battery does not charge
rcint_26480,Repair Café International,NLD,Computers/phones ~ E-reader / E-book reader,Tablet,Kobo,????,End of life,2019-12-07,batterij waarschijnlijk stuk,nl,battery is probably broken
rcint_30807,Repair Café International,NLD,Household appliances electric ~ Flashlight,Lamp,Unknown,????,End of life,2020-02-29,batterij zit vast,nl,battery is stuck
rcint_6332,Repair Café International,NLD,Toys electric ~ Remote controlled car,Toy,Chicco,2012,Repairable,2018-04-07,batterijen ?,nl,Batteries?
rcint_16149,Repair Café International,NLD,Display and sound equipment ~ Radio / tape recorder,Portable radio,Sony,2004,Repairable,2019-03-30,batterijen erg snel leeg,nl,batteries very quickly empty
rcint_6996,Repair Café International,NLD,Other ~ Flashlight,Lamp,Unknown,????,Repairable,2018-05-12,batterijen moeten vervangen worden,nl,Batteries should be replaced
rcint_27170,Repair Café International,NLD,Toys electric ~ Toy,Toy,Unknown,????,End of life,2019-12-28,batterijvak verroest,nl,corroded battery
rcint_14798,Repair Café International,NLD,Other ~ Flashlight,Lamp,Maglite,????,End of life,2019-02-22,batterijvakje gaat niet open,nl,battery compartment will not open
rcint_18578,Repair Café International,USA,Toys electric ~ Music box,Toy,Unknown,2000,Repairable,2019-05-25,"battery case eroded, touch control switch not working",en,"battery case eroded, touch control switch not working"
rcint_26004,Repair Café International,CAN,Other ~ Wrist watch,Watch/clock,Unknown,2017,End of life,2019-11-30,battery change,en,battery change
rcint_26005,Repair Café International,CAN,Other ~ Wrist watch,Watch/clock,Unknown,2017,End of life,2019-11-30,battery change,en,battery change
rcwales_4228,Repair Cafe Wales,GBR,Electrical ~ battery charger,Battery/charger/adapter,Unknown,????,End of life,2020-03-01,battery charger ,en,battery charger 
rcwales_4404,Repair Cafe Wales,GBR,Electrical ~ battery charger,Battery/charger/adapter,Unknown,????,Repairable,2020-02-01,battery charger ,en,battery charger 
rcwales_2467,Repair Cafe Wales,GBR,Electrical ~ battery charger,Battery/charger/adapter,Unknown,????,End of life,2019-12-01,battery charger loose wire,en,battery charger loose wire
restart_5131,The Restart Project,GBR,Digital Compact Camera,Digital compact camera,Unknown,????,Repairable,2017-05-20,Battery check. Needs new battery.,en,Battery check. Needs new battery.
rcwales_2429,Repair Cafe Wales,GBR,Clock ~ battery clock,Watch/clock,Unknown,????,End of life,2019-09-01,battery clock stopped!,en,battery clock stopped!
restart_11931,The Restart Project,GBR,Laptop small,Laptop,HP,2012,Repairable,2019-03-09,battery dead,en,battery dead
restart_13529,The Restart Project,GBR,Toy,Toy,Unknown,2014,Repairable,2019-06-01,battery dead,en,battery dead
restart_14442,The Restart Project,SWE,Misc,Misc,Unknown,2016,End of life,2019-08-25,battery dead,en,battery dead
restart_2334,The Restart Project,GBR,Handheld entertainment device ~ iPod,Handheld entertainment device,Apple,????,End of life,2016-03-04,"battery dead, can't be fixed without breaking it",en,"battery dead, can't be fixed without breaking it"
restart_10972,The Restart Project,GBR,Laptop large,Laptop,Unknown,????,Repairable,2019-01-19,battery dies - advice given,en,battery dies - advice given
restart_14206,The Restart Project,GBR,Digital Compact Camera,Digital compact camera,Nikon,2009,Repairable,2019-07-20,Battery doesn't charge - suspected connection problem.  More likely to be battery issue.,en,Battery doesn't charge - suspected connection problem.  More likely to be battery issue.
restart_6443,The Restart Project,GBR,Laptop medium,Laptop,Compaq,????,Repairable,2017-11-04,Battery doesn't charge Need new battery,en,Battery doesn't charge Need new battery
restart_15513,The Restart Project,HKG,Laptop medium,Laptop,Apple,2017,Repairable,2019-10-27,"Battery drains fast, shuts down at around 50%. Order new battery",en,"Battery drains fast, shuts down at around 50%. Order new battery"
restart_11869,The Restart Project,HKG,Tablet,Tablet,Samsung,????,Repairable,2019-03-03,Battery drains too quickly; device shuts down at 20% battery life. Battery replacement needed,en,Battery drains too quickly; device shuts down at 20% battery life. Battery replacement needed
restart_17202,The Restart Project,GBR,Misc ~ Cycle computer,Handheld entertainment device,CATEYE,2012,Repairable,2020-02-15,battery failed,en,battery failed
restart_16963,The Restart Project,GBR,Small kitchen item ~ Scales,Small kitchen item,Cww,2016,Repairable,2020-02-01,Battery flat - Solution: Needs a replacement battery,en,Battery flat - Solution: Needs a replacement battery
restart_11746,The Restart Project,GBR,Hi-Fi separates,Hi-Fi separates,Unknown,2017,Repairable,2019-02-23,"battery gone, replacement service available from manufacturer",en,"battery gone, replacement service available from manufacturer"
rcwales_1604,Repair Cafe Wales,GBR,Other ~ Battery Light,Decorative or safety lights,Unknown,????,Repairable,2019-04-01,Battery Light Unable to change battery,en,Battery Light Unable to change battery
restart_6854,The Restart Project,GBR,Mobile,Mobile,Apple,????,Repairable,2017-12-09,battery losing charge quickly. new battery needed,en,battery losing charge quickly. new battery needed
restart_13372,The Restart Project,GBR,Vacuum,Vacuum,Unknown,2017,Repairable,2019-05-19,battery not charging - needs new rechargeable battery,en,battery not charging - needs new rechargeable battery
restart_16419,The Restart Project,GBR,TV and gaming-related accessories,TV and gaming-related accessories,unknown,1990,End of life,2020-01-11,battery not holding charge,en,battery not holding charge
restart_14595,The Restart Project,GBR,Toy,Toy,Unknown,????,Repairable,2019-09-08,battery not working.  Advised to see if can source battery that can fit it.,en,battery not working.  Advised to see if can source battery that can fit it.
restart_17262,The Restart Project,GBR,Toy,Toy,Unknown,????,Repairable,2020-02-15,battery operated toy,en,battery operated toy
restart_15157,The Restart Project,GBR,Toy,Toy,Unknown,????,End of life,2019-10-12,battery operated toy dog - wiring too old and kept breaking,en,battery operated toy dog - wiring too old and kept breaking
rcwales_1534,Repair Cafe Wales,GBR,Electrical ~ Battery powered light,Decorative or safety lights,Narwol,????,End of life,2019-01-01,Battery powered light Won't turn on. Have changed batteries but still doesn't work.,en,Battery powered light Won't turn on. Have changed batteries but still doesn't work.
rcwales_3846,Repair Cafe Wales,GBR,Electrical ~ battery powered vacuum cleaner,Vacuum,not known,????,Repairable,2020-02-01,battery powered vacuum cleaner not charging,en,battery powered vacuum cleaner not charging
restart_1996,The Restart Project,GBR,Laptop medium,Laptop,ASUS,????,Repairable,2015-12-01,"battery problem. checked the capacity of the battery, provided help to get a new one",en,"battery problem. checked the capacity of the battery, provided help to get a new one"
rcwales_3482,Repair Cafe Wales,GBR,Electrical ~ battery radio,Portable radio,Unknown,????,End of life,2020-02-01,battery radio only plays on earphones,en,battery radio only plays on earphones
restart_11064,The Restart Project,GBR,Decorative or safety lights,Decorative or safety lights,Unknown,2014,Repairable,2019-01-20,"battery ran down, not charging.",en,"battery ran down, not charging."
restart_15723,The Restart Project,HKG,Tablet,Tablet,Samsung,2016,Repairable,2019-11-10,Battery replaced by a third party. Still drains. Ordered new battery,en,Battery replaced by a third party. Still drains. Ordered new battery
restart_15514,The Restart Project,HKG,Laptop medium,Laptop,Apple,2015,Repairable,2019-10-27,"Battery requires servicing, Order new battery",en,"Battery requires servicing, Order new battery"
restart_15515,The Restart Project,HKG,Laptop medium,Laptop,Apple,2015,Repairable,2019-10-27,"Battery requires servicing, Order new battery",en,"Battery requires servicing, Order new battery"
restart_16745,The Restart Project,GBR,Misc,Misc,Unknown,????,End of life,2020-01-25,battery run clock - too made to be repaired,en,battery run clock - too made to be repaired
restart_17136,The Restart Project,GBR,Vacuum,Vacuum,Dyson,2015,Repairable,2020-02-15,battery won't charge:solution: advised where to get new charger,en,battery won't charge:solution: advised where to get new charger
anstiftung_1126,anstiftung,DEU,Haushaltsgeräte ~ Spielzeug,Toy,Unknown,1970,Repairable,2019-01-17,"Bei zwei roten Spielzeugtelefonen aus der Zeit der DDR, die vor einiger Zeit schon einmal bei uns waren, konnte keine Verbindung hergestellt werden. Beide Flachbatterien, welche gerade erst zwei Monate im Einsatz waren, sind am Ende ihrer Lebenszeit angekommen. Die Primärzellen sind einfach überlagert und waren dadurch entladen.",de,"Two red toy phones from the time of the GDR, who have already been with us for some time, no connection could be established. Both flat batteries which were just two months in use, have arrived at the end of their lifetime. The primary cells are simply superimposed and were discharged by it."
restart_6260,The Restart Project,GBR,Decorative or safety lights ~ Book lamp,Decorative or safety lights,Moleskine,????,Repairable,2017-10-21,"Book Lamp - The soldered-in 3.7v 80mAh battery had gone after less than 1 year of use. Very difficult to open, lots of double-sided tape. Owner will go home and attempt fix",en,"Book Lamp - The soldered-in 3.7v 80mAh battery had gone after less than 1 year of use. Very difficult to open, lots of double-sided tape. Owner will go home and attempt fix"
rcint_23108,Repair Café International,NLD,Other ~ Lamp/lighting,Lamp,Unknown,2015,End of life,2019-10-12,brand niet na plaatsen nieuwe batterijebn,nl,not fire after placing new batterijebn
restart_8331,The Restart Project,GBR,Mobile,Mobile,Sony,2014,Repairable,2018-05-13,Brought a spare battery - but the problem wasn't the battery. Professional help needed.,en,Brought a spare battery - but the problem wasn't the battery. Professional help needed.
restart_16360,The Restart Project,ESP,Power tool,Power tool,Parkside (Lidl),2013,End of life,2019-12-21,"Burnt motor, dead battery.",en,"Burnt motor, dead battery."
fixitclinic_318,Fixit Clinic,USA,camera ,Digital compact camera,Lumix (pasonic),????,Repairable,2019-01-12,camera  ~ clean the battery cage ,en,camera  ~ clean the battery cage 
restart_227,The Restart Project,GBR,Digital Compact Camera,Digital compact camera,Unknown,????,Repairable,2013-11-12,Camera - No power - New battery needed,en,Camera - No power - New battery needed
rcint_24863,Repair Café International,CAN,Other ~ Wrist watch,Watch/clock,Quartz,2014,End of life,2019-11-09,Can't open it to put a new battery in,en,Can't open it to put a new battery in
rcint_18085,Repair Café International,AUS,Clocks / alarm clocks ~ Clock,Watch/clock,Unknown,????,End of life,2019-05-12,Can't take it apart to put in new battery,en,Can't take it apart to put in new battery
restart_16558,The Restart Project,GBR,Toy,Toy,Top Race,2017,Repairable,2020-01-18,Car battery connection oxidised.  Track rod end broken.  Remote controller problem.,en,Car battery connection oxidised.  Track rod end broken.  Remote controller problem.
restart_14647,The Restart Project,CAN,Tablet,Tablet,Unknown,????,Repairable,2019-09-12,Change battery,en,Change battery
restart_15411,The Restart Project,NOR,Hi-Fi separates,Hi-Fi separates,JBL,2016,Repairable,2019-10-21,"Change battery, melted plastic",en,"Change battery, melted plastic"
restart_5568,The Restart Project,ITA,Tablet,Tablet,ASUS,????,Repairable,2017-06-30,Changed battery,en,Changed battery
restart_9350,The Restart Project,CAN,Mobile,Mobile,Unknown,????,Repairable,2018-09-28,Charge/battery,en,Charge/battery
restart_5383,The Restart Project,GBR,Tablet,Tablet,Samsung,????,Repairable,2017-06-17,child's tablet. needs right charger & lead & poss battery boost,en,child's tablet. needs right charger & lead & poss battery boost
restart_8592,The Restart Project,GBR,Misc ~ Multimeter,Small home electrical,Maplin,2018,Repairable,2018-06-07,Clamp meter. Zeros but does not function otherwise. Problem diagnosed: new batteries needed.,en,Clamp meter. Zeros but does not function otherwise. Problem diagnosed: new batteries needed.
rcint_31754,Repair Café International,FRA,Household appliances electric ~ Vacuum cleaner,Vacuum,Dirt Devil,2017,End of life,2020-07-25,Clignote au moment de la charge de la batterie,fr,Blinks at the time of battery
rcwales_1323,Repair Cafe Wales,GBR,Clock ~ clock,Watch/clock,Unknown,????,End of life,2019-06-01,clock battery part broken,en,clock battery part broken
restart_13005,The Restart Project,GBR,Misc ~ Clock,Watch/clock,Habitat,2016,Repairable,2019-05-11,"Clock.  Keeps losing time, needs a new battery every 3 days.Suggested to get a new mechanism.",en,"Clock.  Keeps losing time, needs a new battery every 3 days.Suggested to get a new mechanism."
restart_840,The Restart Project,GBR,Digital Compact Camera,Digital compact camera,Unknown,????,Repairable,2014-09-09,Compact digital camera - Lens stuck - New battery needed,en,Compact digital camera - Lens stuck - New battery needed
restart_6498,The Restart Project,GBR,Tablet,Tablet,Tesco,2015,End of life,2017-11-11,Completely dead - reworked battery but still dead,en,Completely dead - reworked battery but still dead
restart_16033,The Restart Project,SWE,DLSR / Video Camera,DSLR/video camera,Nikon,????,End of life,2019-11-24,completely oxidated with battery fluid (flash component),en,completely oxidated with battery fluid (flash component)
rcint_1215,Repair Café International,NLD,Computers/phones ~ Navigation system,Tablet,TomTom,????,Repairable,2017-06-03,configuratie batterij,nl,battery configuration
restart_17059,The Restart Project,GBR,Toy,Toy,Fisher-Price,1990,Repairable,2020-02-15,connection to the battery,en,connection to the battery
rcint_3953,Repair Café International,NLD,Other ~ Dog trainer,Misc,Doc i doc,2017,End of life,2017-12-22,"Contacten schoonmaken, batterijen vernieuwen . Was niet de oorzaak.",nl,"Clean contacts, replace batteries. was not the cause."
rcint_28180,Repair Café International,GBR,Household appliances electric ~ Vacuum cleaner,Vacuum,Bosch,????,Repairable,2020-01-18,cordless battery not charging,en,cordless battery not charging
restart_2647,The Restart Project,GBR,Power tool ~ Drill,Power tool,Unknown,????,Repairable,2016-05-14,"Cordless drill - not charging, not working. needs new battery",en,"Cordless drill - not charging, not working. needs new battery"
restart_17420,The Restart Project,GBR,Power tool,Power tool,Unknown,????,Repairable,2020-02-22,Cordless drill - problem in battery charger (not fuse),en,Cordless drill - problem in battery charger (not fuse)
fixitclinic_665,Fixit Clinic,USA,Cordless Handheld Vacuum,Vacuum,Black and Decker,2017,Repairable,2020-07-09,Cordless Handheld Vacuum ~ Lithium battery dead,en,Cordless Handheld Vacuum ~ Lithium battery dead
restart_4098,The Restart Project,GBR,Misc ~ Screwdriver,Power tool,Unknown,????,Repairable,2017-01-17,"Cordless Screwdriver - faulty battery. Diagnosed, advice given",en,"Cordless Screwdriver - faulty battery. Diagnosed, advice given"
restart_9183,The Restart Project,GBR,Vacuum,Vacuum,Unknown,????,Repairable,2018-09-15,"Cordless vacuum cleaner, parts needed, battery",en,"Cordless vacuum cleaner, parts needed, battery"
restart_13183,The Restart Project,GBR,Portable radio,Portable radio,Blaupunkt,1959,Repairable,2019-05-17,Corroded batteries.  Advice given on cleaning up,en,Corroded batteries.  Advice given on cleaning up
restart_15267,The Restart Project,GBR,Laptop medium,Laptop,Apple,2010,Repairable,2019-10-19,Corroded connection to battery,en,Corroded connection to battery
restart_10527,The Restart Project,HKG,Mobile,Mobile,Apple,????,Repairable,2018-11-25,"Cracked digitiser, low battery health",en,"Cracked digitiser, low battery health"
restart_10200,The Restart Project,HKG,Mobile,Mobile,Apple,2014,Repairable,2018-11-11,"Cracked digitiser; LCD ok touch ok, battery health low - request new screen assembly and battery",en,"Cracked digitiser; LCD ok touch ok, battery health low - request new screen assembly and battery"
restart_15187,The Restart Project,HKG,Mobile,Mobile,Apple,2016,Repairable,2019-10-13,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly",en,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly"
restart_2433,The Restart Project,GBR,Mobile,Mobile,Apple,????,Repairable,2016-03-21,Cracked LCD but appears to need a new battery,en,Cracked LCD but appears to need a new battery
restart_10516,The Restart Project,HKG,Mobile,Mobile,Apple,2016,Repairable,2018-11-25,"Cracked Screen, battery dying fast",en,"Cracked Screen, battery dying fast"
restart_12818,The Restart Project,GBR,Laptop medium,Laptop,HP,2014,Repairable,2019-04-24,Dead battery,en,Dead battery
restart_16005,The Restart Project,IRL,Toy,Toy,Unknown,2017,Repairable,2019-11-24,Dead battery - needs replacement,en,Dead battery - needs replacement
restart_6803,The Restart Project,ESP,Power tool,Power tool,Bosch,????,Repairable,2017-12-02,Dead battery or damaged charger.,en,Dead battery or damaged charger.
restart_12817,The Restart Project,GBR,Laptop medium,Laptop,HP,2014,Repairable,2019-04-24,"Dead battery, head phone socket broken",en,"Dead battery, head phone socket broken"
rcint_3195,Repair Café International,GBR,Computers/phones ~ Laptop,Laptop,Toshiba,2012,Repairable,2017-11-04,"Dead battery, not much disk space left",en,"Dead battery, not much disk space left"
restart_12041,The Restart Project,ITA,Mobile,Mobile,Apple,2012,Repairable,2019-03-14,Dead battery. Needs replacement and specialized screwdrivers.,en,Dead battery. Needs replacement and specialized screwdrivers.
rcint_1042,Repair Café International,NLD,Tools electric ~ Electric screwdriver,Power tool,Topcraft,2005,End of life,2017-05-13,Defecte batterij,nl,defective battery
rcint_13120,Repair Café International,NLD,Household appliances non-electric ~ Vacuum cleaner,Vacuum,Raido,2016,End of life,2019-01-05,defecte batterij,nl,faulty battery
rcint_6785,Repair Café International,NLD,Toys electric ~ Walkie-talkie,Toy,Fisher-Price,1990,Repairable,2018-05-05,defecte batterijen,nl,defective batteries
restart_5679,The Restart Project,GBR,Hair & Beauty item ~ Shaver,Hair & beauty item,Braun,????,Repairable,2017-07-19,Determined the battery was indeed user replaceable.,en,Determined the battery was indeed user replaceable.
restart_10205,The Restart Project,HKG,Mobile,Mobile,Samsung,2016,Repairable,2018-11-11,"Device won't connect via USB, dropped in sea water - request new I/O daughterboard and battery",en,"Device won't connect via USB, dropped in sea water - request new I/O daughterboard and battery"
restart_15117,The Restart Project,ITA,Hair & Beauty item ~ Shaver,Hair & beauty item,Philips,????,Repairable,2019-10-12,Did't keep the charge - new battery needed,en,Did't keep the charge - new battery needed
restart_16853,The Restart Project,GBR,Portable radio,Portable radio,Bush,2010,End of life,2020-02-01,"Dies immediately even with fresh batteries:solution: Faulty motor, not fixable",en,"Dies immediately even with fresh batteries:solution: Faulty motor, not fixable"
restart_2695,The Restart Project,GBR,Laptop medium,Laptop,Apple,????,Repairable,2016-05-18,Dies very quickly - needs new battery,en,Dies very quickly - needs new battery
restart_5999,The Restart Project,GBR,Misc ~ Watch,Watch/clock,Unknown,????,Repairable,2017-09-16,Digital watch. Safe opening of case not achieved. Likely new battery only needed.,en,Digital watch. Safe opening of case not achieved. Likely new battery only needed.
restart_15219,The Restart Project,GBR,Misc,Misc,Unknown,????,Repairable,2019-10-19,"Dismantled, cleaned with compressed air - battery voltage appears low.  Suggest new battery",en,"Dismantled, cleaned with compressed air - battery voltage appears low.  Suggest new battery"
restart_10194,The Restart Project,HKG,Mobile,Mobile,Apple,2014,Repairable,2018-11-11,"Display coming off, battery health low - request new screen assembly and battery",en,"Display coming off, battery health low - request new screen assembly and battery"
restart_8835,The Restart Project,GBR,Vacuum,Vacuum,Dyson,2013,Repairable,2018-07-21,"Does not charge. Checked the charger and contacts, and the battery. Appeared to need a new battery.",en,"Does not charge. Checked the charger and contacts, and the battery. Appeared to need a new battery."
restart_8269,The Restart Project,GBR,Mobile,Mobile,Apple,2016,Repairable,2018-05-12,does not power on - battery,en,does not power on - battery
restart_7702,The Restart Project,GBR,Tablet,Tablet,Asus,????,Repairable,2018-04-07,Does not start - needs battery,en,Does not start - needs battery
restart_1827,The Restart Project,GBR,Tablet,Tablet,Unknown,????,Repairable,2015-10-31,does not switch on - no issue with battery/ microsocket - individual happy with advice received,en,does not switch on - no issue with battery/ microsocket - individual happy with advice received
restart_7873,The Restart Project,GBR,Tablet,Tablet,ASUS,????,Repairable,2018-04-19,Does not turn on.Needs a new battery.,en,Does not turn on.Needs a new battery.
restart_12040,The Restart Project,ITA,Tablet,Tablet,Mediacom,2014,Repairable,2019-03-14,Doesn't charge battery. Battery is dead but could be easily replaced...,en,Doesn't charge battery. Battery is dead but could be easily replaced...
restart_1421,The Restart Project,GBR,Mobile,Mobile,Samsung,????,Repairable,2015-05-09,"Doesn't charge, doesn't switch on. Needs new battery.",en,"Doesn't charge, doesn't switch on. Needs new battery."
restart_8713,The Restart Project,GBR,Laptop medium,Laptop,Dell,????,Repairable,2018-07-07,Doesn't light up. Needs new battery.,en,Doesn't light up. Needs new battery.
